>call python -m cProfile -s time d:profile-arcpy-listFC.py

Looking in "X:\Env-dat.081\source\yt_courbe_niveau_imperial.gdb"
         43929 function calls (41929 primitive calls) in 2099.317 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2072.454 2072.454 2072.454 2072.454 {built-in method listfeatureclasses}
        1    0.000    0.000    0.000    0.000 interop.py:17(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:197(GeometrySpecializationMixin)
        1    0.000    0.000    0.000    0.000 uuid.py:53(UUID)
        1    0.000    0.000    0.000    0.000 util.py:9(_get_build_version)
        1    0.000    0.000    0.000    0.000 numerictypes.py:384(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 mixins.py:306(LayerSymbologySpecializationMixin)
       40    0.000    0.000    0.000    0.000 _base.py:514(<genexpr>)
        1    0.000    0.000    0.000    0.000 _methods.py:4(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
       15    0.000    0.000    0.000    0.000 glob.py:94(has_magic)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        2    0.000    0.000    0.004    0.002 glob.py:66(glob1)
        1    0.000    0.000    0.000    0.000 arcobjects.py:720(Geometry)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
        1    0.000    0.000    0.000    0.000 ElementTree.py:171(Element)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        2    0.000    0.000    0.007    0.004 glob.py:18(glob)
        1    0.000    0.000    0.000    0.000 stpm.py:15(<module>)
        3    0.000    0.000    0.000    0.000 re.py:204(escape)
        1    0.000    0.000    0.000    0.000 defmatrix.py:195(matrix)
       49    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:456(StringConverter)
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
       23    0.000    0.000    0.000    0.000 {method 'replace' of 'unicode' objects}
       35    0.000    0.000    0.000    0.000 _base.py:522(<genexpr>)
