Looking in "D:\s\yt_courbe_niveau_imperial.gdb" 
Feature classes found: 424
         43925 function calls (41924 primitive calls) in 27.475 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.000    0.000    0.000    0.000 {method 'find' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       73    0.000    0.000    0.000    0.000 ntpath.py:42(normcase)
       18    0.000    0.000    0.000    0.000 core.py:905(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:785(_construct_lookups)
        1    0.000    0.000    0.000    0.000 core.py:2574(MaskedArray)
        1    0.000    0.000    3.300    3.300 _base.py:582(__setitem__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:286(_add_types)
        1    0.000    0.000    0.000    0.000 stats.py:22(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:51(Geoprocessor)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:343(_add_integer_aliases)
      542    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
      103    0.000    0.000    0.000    0.000 {_sre.getlower}
      159    0.000    0.000    0.000    0.000 sre_parse.py:135(__setitem__)
      256    0.000    0.000    0.000    0.000 {chr}
       68    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
       98    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       47    0.000    0.000    0.000    0.000 sre_parse.py:226(_class_escape)
       76    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      124    0.000    0.000    0.000    0.000 {method 'join' of 'unicode' objects}
       68    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
       50    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
        1    0.000    0.000   21.592   21.592 profile-arcpy-listFC.py:7(arcpy_listFC)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       52    0.000    0.000    0.000    0.000 sre_compile.py:475(isstring)
      468    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
       26    0.000    0.000    0.000    0.000 sre_parse.py:179(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:456(_set_array_types)
       68    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 {arcgisscripting._listDateTimeStringFormats}
        4    0.000    0.000    0.001    0.000 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 server.py:17(<module>)
        1    0.000    0.000    0.000    0.000 analysis.py:19(<module>)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.001    0.001 arcobjects.py:1126(SpatialReference)
       68    0.000    0.000    0.000    0.000 string.py:308(join)
       72    0.000    0.000    0.000    0.000 numerictypes.py:128(english_lower)
      340    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
        1    0.000    0.000   18.291   18.291 _base.py:310(listFeatureClasses)
        4    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       68    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        5    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
       50    0.000    0.000    0.000    0.000 sre_parse.py:84(closegroup)
        1    0.000    0.000    0.000    0.000 geocoding.py:21(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:579(__getitem__)
       49    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 edit.py:16(<module>)
      124    0.000    0.000    0.000    0.000 {max}
       28    0.000    0.000    0.030    0.001 re.py:188(compile)
        4    0.000    0.000    0.000    0.000 uuid.py:101(__init__)
       49    0.000    0.000    0.000    0.000 collections.py:347(<genexpr>)
       49    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       23    0.000    0.000    0.001    0.000 core.py:5928(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1732(chararray)
        1    0.000    0.000    0.000    0.000 _mapping.py:22(constants)
       30    0.000    0.000    0.000    0.000 {sys._getframe}
       26    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:433(_construct_char_code_lookup)
       50    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 lr.py:21(<module>)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:259(__init__)
        1    0.000    0.000    0.000    0.000 md.py:18(<module>)
        2    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 ta.py:16(<module>)
        1    0.000    0.000    0.000    0.000 da.py:14(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:243(getdoc)
        1    0.000    0.000    0.000    0.000 fabric.py:18(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:21(gp_fixargs)
        1    0.000    0.000    0.000    0.000 arcobjects.py:358(GeoProcessor)
        8    0.000    0.000    0.000    0.000 core.py:7137(getdoc)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 schematics.py:17(<module>)
       15    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 utils.py:113(__call__)
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
        2    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 numerictypes.py:384(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 mixins.py:197(GeometrySpecializationMixin)
       40    0.000    0.000    0.000    0.000 numerictypes.py:155(english_upper)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
